Open,High,Low,Close,Volume,Tomorrow,Target
0.0,0.2012068945459924,0.1984875935309615,0.1993943452835083,179200,0.1993943452835083,0
0.0,0.1993943452835083,0.1966750442684774,0.1993943452835083,64000,0.1975813210010528,0
0.0,0.2003006219498362,0.1975813210010528,0.1975813210010528,204800,0.1948624402284622,0
0.0,0.1966750029396617,0.1948624402284622,0.1948624402284622,44800,0.1975813210010528,1
0.0,0.1975813210010528,0.1930499272108316,0.1975813210010528,128000,0.1957688182592392,0
0.0,0.1975813818655246,0.1939562546529537,0.1957688182592392,160000,0.1921436488628387,0
0.0,0.19667504272796,0.1921436488628387,0.1921436488628387,134400,0.1948624402284622,1
0.0,0.195768721584062,0.1930498913468628,0.1948624402284622,89600,0.1912368237972259,0
0.0,0.1939561237483778,0.1912368237972259,0.1912368237972259,147200,0.1921436488628387,1
0.0,0.1921436488628387,0.1894243478691076,0.1921436488628387,64000,0.1912368237972259,0
0.0,0.1930498563864987,0.18942427524387,0.1912368237972259,89600,0.1894243210554123,0
0.0,0.1912368700471262,0.1885180396447548,0.1894243210554123,128000,0.1885181665420532,0
0.0,0.191236998774553,0.1885181665420532,0.1885181665420532,89600,0.1885181665420532,0
0.0,0.191236998774553,0.1885181665420532,0.1885181665420532,83200,0.1848929673433303,0
0.0,0.1857992489476601,0.1848929673433303,0.1848929673433303,217600,0.1848929673433303,0
0.0,0.1857992489476601,0.1848929673433303,0.1848929673433303,83200,0.1848929673433303,0
0.0,0.1848929673433303,0.1848929673433303,0.1848929673433303,192000,0.1821736842393875,0
0.0,0.1867055352582781,0.1821736842393875,0.1821736842393875,179200,0.1785485446453094,0
0.0,0.1839862063404112,0.1785485446453094,0.1785485446453094,915200,0.177642211318016,0
0.0,0.1794547600783051,0.176735459816699,0.177642211318016,492800,0.1794548779726028,1
0.0,0.1794548779726028,0.1776423280215447,0.1794548779726028,108800,0.1839862763881683,1
0.0,0.1839862763881683,0.1803611626014028,0.1839862763881683,115200,0.1830798089504242,0
0.0,0.1867053751662394,0.1830798089504242,0.1830798089504242,224000,0.1830798089504242,0
0.0,0.183986076038037,0.1812672471160115,0.1830798089504242,128000,0.1812674254179,0
0.0,0.1821737072265614,0.1794548618005774,0.1812674254179,262400,0.1812674254179,0
0.0,0.1830799890352227,0.1812674254179,0.1812674254179,76800,0.1812674254179,0
0.0,0.1812674254179,0.1785485938215231,0.1812674254179,595200,0.1794548779726028,0
0.0,0.1812674417532692,0.1794548779726028,0.1794548779726028,25600,0.1794548779726028,0
0.0,0.1812674417532692,0.1794548779726028,0.1794548779726028,12800,0.1785485446453094,0
0.0,0.183079938610963,0.1785485446453094,0.1785485446453094,140800,0.1785485446453094,0
0.0,0.1803610939338089,0.1785485446453094,0.1785485446453094,121600,0.1812674254179,1
0.0,0.1812674254179,0.1776423120128618,0.1812674254179,230400,0.1812674254179,0
0.0,0.1812674254179,0.1794548618005774,0.1812674254179,64000,0.1839862763881683,1
0.0,0.1839862763881683,0.1803611626014028,0.1839862763881683,377600,0.186705470085144,1
0.0,0.186705470085144,0.1830799020261319,0.186705470085144,70400,0.1885181665420532,1
0.0,0.1885181665420532,0.1867056025006464,0.1885181665420532,454400,0.1912368237972259,1
0.0,0.1912368237972259,0.1885179940523932,0.1912368237972259,448000,0.1930499672889709,1
0.0,0.1966750803078189,0.1930499672889709,0.1930499672889709,268800,0.1930499672889709,0
0.0,0.1948625168835921,0.1930499672889709,0.1930499672889709,467200,0.1975813210010528,1
0.0,0.1975813210010528,0.1903306262620482,0.1975813210010528,812800,0.1984876841306686,1
0.0,0.1993944362971024,0.19576885208113,0.1984876841306686,390400,0.1957688182592392,0
0.0,0.1975813818655246,0.1939562546529537,0.1957688182592392,185600,0.1975813210010528,1
0.0,0.1975813210010528,0.1957687579531233,0.1975813210010528,1721600,0.196675106883049,0
0.0,0.1975813887176215,0.1957688250484765,0.196675106883049,2246400,0.1975813210010528,1
0.0,0.2003006219498362,0.196675039477088,0.1975813210010528,416000,0.1993943452835083,1
0.0,0.2012068945459924,0.1957687627224338,0.1993943452835083,780800,0.1993943452835083,0
0.0,0.2030194576380795,0.197581325814521,0.1993943452835083,883200,0.1957688182592392,0
0.0,0.2003006836519824,0.1957688182592392,0.1957688182592392,851200,0.1993943452835083,1
0.0,0.1993943452835083,0.1957687627224338,0.1993943452835083,364800,0.2039258182048797,1
0.0,0.2057383681697225,0.2003007044455857,0.2039258182048797,390400,0.205738216638565,1
0.0,0.205738216638565,0.2030193867789804,0.205738216638565,294400,0.205738216638565,0
0.0,0.2066449680746317,0.203925668008708,0.205738216638565,384000,0.2012069076299667,0
0.0,0.2057383018252466,0.2012069076299667,0.2012069076299667,192000,0.2021132111549377,1
0.0,0.2030194928582044,0.2003006615780098,0.2021132111549377,192000,0.2175208628177642,1
0.0,0.2175208628177642,0.2021131903532553,0.2175208628177642,787200,0.2166144549846649,0
0.0,0.2193332982303454,0.2148019066504738,0.2166144549846649,691200,0.2157084047794342,0
0.0,0.216614686831338,0.2148021365571411,0.2157084047794342,204800,0.2211464941501617,1
0.0,0.2211464941501617,0.2148020789410454,0.2211464941501617,313600,0.2184271514415741,0
0.0,0.2229590021843792,0.2184271514415741,0.2184271514415741,307200,0.2138958126306533,0
0.0,0.2211465101739522,0.2138958126306533,0.2138958126306533,307200,0.2075513452291488,0
0.0,0.2138957593166066,0.2075513452291488,0.2075513452291488,128000,0.2030195444822311,0
0.0,0.2066451285941945,0.2021132625485141,0.2030195444822311,172800,0.2021132111549377,0
