Open,High,Low,Close,Volume,Dividends,Stock Splits
7.405293131482366,7.524094318595537,7.187489948015516,7.2072906494140625,30086900,0.0,0.0
7.147887461584408,7.361730449755669,7.092447022570822,7.128087520599365,9582800,0.0,0.0
7.13204765986024,7.219168457641495,7.084526744049072,7.128087520599365,3199400,0.0,0.0
7.1558085032666785,7.191449005096249,7.0488869977779665,7.080567359924316,1846600,0.0,0.0
7.080570411518936,7.139971777048717,6.989489425508888,7.120171070098877,2353300,0.0,0.0
7.132051666398099,7.187492136556207,7.080570582405778,7.167692184448242,474900,0.0,0.0
7.262732626427939,7.266692767538494,7.128090849947794,7.13205099105835,702100,0.0,0.0
7.13204765986024,7.187488098873827,7.0805666047881965,7.128087520599365,304500,0.0,0.0
7.104329098285361,7.167689830607144,7.088488537545161,7.151849269866943,486000,0.0,0.0
7.167693330924429,7.262734475820105,7.076612328147725,7.203333854675293,624600,0.0,0.0
7.2746137385986716,7.2746137385986716,7.132051666398099,7.167692184448242,199600,0.0,0.0
7.132050672792515,7.2350120711132755,7.128090531858679,7.2270917892456055,408000,0.0,0.0
7.238972360496888,7.401334365515436,7.2112513733915655,7.3260931968688965,963000,0.0,0.0
7.326093307850261,7.361733822205918,7.112250221716321,7.199371814727783,720700,0.0,0.0
7.227090595493082,7.25481082213152,7.159769721377078,7.2072906494140625,405000,0.0,0.0
7.282529863385066,7.282529863385066,7.167688835244396,7.2191691398620605,498200,0.0,0.0
7.246890811860636,7.266691513997693,7.060768743689634,7.171650409698486,1196100,0.0,0.0
7.143929744816353,7.227090422743877,7.143929744816353,7.151849269866943,280800,0.0,0.0
7.211251482633216,7.223131905858328,7.088490130585776,7.199371814727783,622700,0.0,0.0
7.167691441447164,7.2072920968778575,7.143931350316619,7.199371814727783,275400,0.0,0.0
7.171650409698486,7.235011145897957,7.0726491649718675,7.171650409698486,539400,0.0,0.0
7.199373058359022,7.2033332001181405,7.100371780340487,7.1597723960876465,196000,0.0,0.0
7.155812904567516,7.24689390734422,7.100372425541674,7.203333854675293,555700,0.0,0.0
7.139973761649011,7.266695300072074,7.136013619158296,7.235014915466309,377400,0.0,0.0
7.2191723388888605,7.26273313885877,7.029090084088829,7.120171070098877,614000,0.0,0.0
7.080568268045116,7.163729701419818,7.0092880105633135,7.1043291091918945,412200,0.0,0.0
7.195411290469296,7.195411290469296,7.092449893960455,7.116209983825684,405600,0.0,0.0
7.262732451267496,7.3498532876395055,7.246891887207312,7.3260931968688965,965400,0.0,0.0
7.365692136366201,7.42905286721206,7.318171210572062,7.409252166748047,666400,0.0,0.0
7.429053162202519,7.429053162202519,7.2785708539786835,7.318171501159668,371000,0.0,0.0
7.444893703858254,7.48845449559555,7.143930568297508,7.294412136077881,722000,0.0,0.0
7.385496553513709,7.385496553513709,7.151853433801205,7.235014915466309,810300,0.0,0.0
7.294413075493329,7.326093449385995,6.965728913112043,7.060770034790039,988800,0.0,0.0
7.072651198685065,7.0884910096298315,6.652885256512069,6.803367614746094,980900,0.0,0.0
6.878606201033141,7.199369993783234,6.803365050277617,7.06868839263916,823900,0.0,0.0
7.108782955166995,7.217038719498254,6.972461051507988,7.124821186065674,369400,0.22,0.0
7.120812286747229,7.24911508682006,7.120812286747229,7.15689754486084,508200,0.0,0.0
6.980482467127985,7.213031538572548,6.968453789990352,7.056662559509277,309200,0.0,0.0
7.08873729036439,7.205011427692504,7.028595442453635,7.044632911682129,205900,0.0,0.0
7.056661713221619,7.100765327946654,6.92033978099129,6.964444160461426,285000,0.0,0.0
6.944394123057169,7.205009227586294,6.944394123057169,7.1168012619018555,430700,0.0,0.0
7.15288902528591,7.4135042213654225,7.136850790575727,7.293220520019531,622800,0.0,0.0
7.237086465231806,7.28920995610657,7.176944622852861,7.225058555603027,329100,0.0,0.0
7.164915416658087,7.257132942601083,7.092744912965349,7.188971996307373,770100,0.0,0.0
7.196993965192221,7.196993965192221,7.100766078944561,7.1609086990356445,70100,0.0,0.0
7.040622654329204,7.205010712515645,7.040622654329204,7.15689754486084,75800,0.0,0.0
7.15689674072413,7.172934206558786,6.948404331659125,6.976470470428467,183600,0.0,0.0
6.996519569386403,7.004537921433433,6.755951418838936,6.784017562866211,219700,0.0,0.0
6.79203711386609,6.836140729551992,6.711847470308806,6.715857028961182,180600,0.0,0.0
6.6757619434342566,6.796046404017945,6.499345193425233,6.531421661376953,250900,0.0,0.0
6.587553177656638,6.60359064500518,6.206653577630059,6.270805358886719,335300,0.0,0.0
6.250758947351971,6.330948208737272,6.122456129135491,6.218683242797852,560500,0.0,0.0
6.262786113630682,6.427174547845425,6.262786113630682,6.4151458740234375,114700,0.0,0.0
6.3550050544885694,6.515383574133606,6.334957643939801,6.40311861038208,210800,0.0,0.0
6.330946630863264,6.435192453496487,6.266795237743598,6.363022327423096,187600,0.0,0.0
6.403119234680121,6.4191570882083,6.3389678205674045,6.395100116729736,200300,0.0,0.0
6.38708116548213,6.411137753775796,6.262787518056268,6.294863224029541,45000,0.0,0.0
6.342975360581477,6.535429553263384,6.318918777682484,6.4151458740234375,244900,0.0,0.0
6.403116899738291,6.599580247037295,6.403116899738291,6.543447971343994,295200,0.0,0.0
6.503354372941757,6.531421280763937,6.415146385450035,6.4552412033081055,146800,0.0,0.0
6.4191554319641,6.491325945406061,6.411136316082775,6.4151458740234375,174100,0.0,0.0
6.423166304603639,6.515383861879095,6.411137628319613,6.463261127471924,24600,0.0,0.0
6.583543357180538,6.84014894248761,6.515382402990227,6.65170431137085,378500,0.0,0.0
